"playernum","Game","whyplay","Weekly_Hours","Gender","Age","Work","Degree","Residence","Playstyle","GAD_T","SWL_T","SPIN_T","Residence_ISO3","motivation","occupation","styleofplay"
10996,"League of Legends","improving",75,"Male",19,"Unemployed / between jobs","High school diploma (or equivalent)","Germany","Multiplayer - online - with real life friends",5,14,37,"DEU","improving","Unemployed","Multiplayer - online - with real life friends"
10997,"League of Legends","improving",25,"Male",23,"Unemployed / between jobs","High school diploma (or equivalent)","Canada","Multiplayer - online - with real life friends",11,21,29,"CAN","improving","Unemployed","Multiplayer - online - with real life friends"
10998,"League of Legends","improving",49,"Male",22,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",11,13,45,"USA","improving","Student","Multiplayer - online - with real life friends"
10999,"League of Legends","having fun",11,"Male",19,"Unemployed / between jobs","High school diploma (or equivalent)","Germany","Multiplayer - online - with strangers",5,22,9,"DEU","having fun","Unemployed","Multiplayer - online - with strangers"
11000,"League of Legends","All of the above",30,"Male",23,"Student at college / university","High school diploma (or equivalent)","Netherlands","Multiplayer with strangers/friends/online acquaintances",17,8,17,"NLD","Other","Student","Other"
11001,"League of Legends","having fun",40,"Male",19,"Student at college / university","None","USA","Multiplayer - online - with real life friends",0,27,15,"USA","having fun","Student","Multiplayer - online - with real life friends"
11003,"League of Legends","improving",42,"Male",21,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",4,18,12,"USA","improving","Student","Multiplayer - online - with real life friends"
11004,"League of Legends","having fun",50,"Male",23,"Student at college / university","Master (or equivalent)","Russia","Multiplayer - online - with real life friends",0,18,15,"RUS","having fun","Student","Multiplayer - online - with real life friends"
11005,"League of Legends","having fun",40,"Male",21,"Student at college / university","High school diploma (or equivalent)","Netherlands","Multiplayer - online - with real life friends",9,11,34,"NLD","having fun","Student","Multiplayer - online - with real life friends"
11006,"League of Legends","Challenging my brain and having fun while improving",34,"Male",18,"Student at college / university","High school diploma (or equivalent)","Norway","Multiplayer - online - with strangers",0,28,16,"NOR","Other","Student","Multiplayer - online - with strangers"
11007,"League of Legends","having fun",7,"Male",24,"Employed","Bachelor (or equivalent)","Philippines","Multiplayer - online - with online acquaintances or teammates",10,19,NA,"PHL","having fun","Employed","Multiplayer - online - with online acquaintances or teammates"
11008,"Other","having fun",40,"Male",21,"Unemployed / between jobs","High school diploma (or equivalent)","Bosnia and Herzegovina","Singleplayer",0,13,22,"BIH","having fun","Unemployed","Singleplayer"
11009,"Other","relaxing",30,"Male",20,"Unemployed / between jobs","High school diploma (or equivalent)","Ireland","Multiplayer - online - with online acquaintances or teammates",2,22,NA,"IRL","relaxing","Unemployed","Multiplayer - online - with online acquaintances or teammates"
11010,"League of Legends","winning",20,"Male",19,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",2,33,9,"USA","winning","Student","Multiplayer - online - with real life friends"
11011,"League of Legends","having fun",40,"Male",26,"Employed","Master (or equivalent)","USA","Mix between Single and Multiplayer online with real life friends.",0,19,10,"USA","having fun","Employed","Other"
11012,"League of Legends","improving",104,"Male",18,"Student at college / university","None","Portugal","Multiplayer - online - with strangers",6,15,36,"PRT","improving","Student","Multiplayer - online - with strangers"
11013,"Other","improving",30,"Male",24,"Student at college / university","High school diploma (or equivalent)","Germany","Singleplayer",14,9,40,"DEU","improving","Student","Singleplayer"
11014,"Other","having fun",18,"Male",21,"Student at college / university","Bachelor (or equivalent)","Norway","Multiplayer - online - with online acquaintances or teammates",2,25,24,"NOR","having fun","Student","Multiplayer - online - with online acquaintances or teammates"
11015,"League of Legends","having fun",53,"Male",18,"Student at college / university","High school diploma (or equivalent)","Sweden","Multiplayer - online - with strangers",10,12,27,"SWE","having fun","Student","Multiplayer - online - with strangers"
11016,"Other","having fun",38,"Male",23,"Unemployed / between jobs","Bachelor (or equivalent)","Portugal","Multiplayer - online - with real life friends",2,23,11,"PRT","having fun","Unemployed","Multiplayer - online - with real life friends"
11017,"League of Legends","having fun",30,"Male",22,"Student at college / university","Bachelor (or equivalent)","Germany","Multiplayer - online - with online acquaintances or teammates",5,19,6,"DEU","having fun","Student","Multiplayer - online - with online acquaintances or teammates"
11018,"League of Legends","having fun",45,"Male",21,"Student at college / university","Bachelor (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",2,24,10,"USA","having fun","Student","Multiplayer - online - with online acquaintances or teammates"
11019,"Starcraft 2","improving",50,"Male",21,"Employed","None","Netherlands","Multiplayer - online - with strangers",5,29,16,"NLD","improving","Employed","Multiplayer - online - with strangers"
11020,"Diablo 3","having fun",35,"Male",20,"Student at college / university","High school diploma (or equivalent)","Denmark","Multiplayer - online - with strangers",0,26,14,"DNK","having fun","Student","Multiplayer - online - with strangers"
11021,"League of Legends","improving",30,"Male",20,"Unemployed / between jobs","High school diploma (or equivalent)","Belgium","Multiplayer - online - with real life friends",8,16,39,"BEL","improving","Unemployed","Multiplayer - online - with real life friends"
11022,"Other","having fun",16,"Male",29,"Employed","Master (or equivalent)","France","Multiplayer - online - with strangers",6,19,4,"FRA","having fun","Employed","Multiplayer - online - with strangers"
11023,"League of Legends","having fun",20,"Male",23,"Employed","High school diploma (or equivalent)","USA","Multiplayer - online - with strangers",6,6,37,"USA","having fun","Employed","Multiplayer - online - with strangers"
11024,"League of Legends","having fun",40,"Male",18,"Student at school","None","Canada","Multiplayer - online - with online acquaintances or teammates",12,24,34,"CAN","having fun","Student","Multiplayer - online - with online acquaintances or teammates"
11025,"League of Legends","improving",60,"Male",21,"Student at college / university","High school diploma (or equivalent)","USA","Multiplayer - online - with real life friends",8,15,26,"USA","improving","Student","Multiplayer - online - with real life friends"
11026,"League of Legends","having fun",52,"Male",20,"Employed","High school diploma (or equivalent)","USA","Multiplayer - online - with online acquaintances or teammates",5,21,47,"USA","having fun","Employed","Multiplayer - online - with online acquaintances or teammates"
